=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2016.07.26 22:04:39 =~=~=~=~=~=~=~=~=~=~=~=
Tstart,A0,A1,Tstop
1502580,428,158,1502808
1504704,428,159,1504928
1506828,428,158,1507056
1508952,428,158,1509176
1511076,428,158,1511304
1513204,428,158,1513432
1515328,428,158,1515552
1517452,428,158,1517688
1519580,428,159,1519808
1521704,428,158,1521928
1523828,428,159,1524056
1525952,428,158,1526176
1528076,428,159,1528304
1530204,428,158,1530432
1532328,428,158,1532552
1534452,428,158,1534680
1536580,428,159,1536808
1538704,428,158,1538928
1540828,428,158,1541056
1542952,428,158,1543176
1545080,428,158,1545304
1547204,428,159,1547432
1549336,428,158,1549560
1551452,428,158,1551680
1553580,428,159,1553808
1555704,428,158,1555928
1557828,428,158,1558056
1559952,428,159,1560176
1562080,428,158,1562304
1564204,428,158,1564432
1566328,428,159,1566552
1568452,428,158,1568680
1570580,428,159,1570808
1572704,428,159,1572928
1574828,428,159,1575056
1576952,428,158,1577176
1579076,428,158,1579304
1581204,428,158,1581432
1583328,428,158,1583552
1585452,428,158,1585680
1587580,428,159,1587808
1589704,428,158,1589928
1591828,428,159,1592056
1593952,428,158,1594176
1596080,428,158,1596304
1598204,428,158,1598432
1600328,428,158,1600552
1602452,428,159,1602680
1604580,428,159,1604808
1606704,428,158,1606928
1608828,428,158,1609056
1610952,428,158,1611176
1613080,428,158,1613304
1615204,428,158,1615432
1617328,428,158,1617552
1619452,428,159,1619680
1621580,428,158,1621808
1623704,428,159,1623928
1625828,428,158,1626056
1627952,428,158,1628176
1630080,428,158,1630304
1632204,428,159,1632432
1634328,428,158,1634552
1636452,428,159,1636680
1638580,428,158,1638808
1640704,428,159,1640928
1642828,428,158,1643056
1644952,428,158,1645176
1647080,428,158,1647304
1649204,428,158,1649432
1651328,428,159,1651552
1653452,428,159,1653680
1655576,428,158,1655800
1657704,428,159,1657928
1659828,428,158,1660056
1661960,428,158,1662184
1664076,428,159,1664304
1666204,428,158,1666432
1668328,428,159,1668552
1670452,428,158,1670680
1672580,428,159,1672808
1674704,428,158,1674928
1676828,428,158,1677056
1678952,428,159,1679176
1681080,428,158,1681304
1683204,428,158,1683432
1685328,428,158,1685552
1687452,428,159,1687680
1689580,428,158,1689808
1691704,428,159,1691928
1693828,428,158,1694056
1695952,428,158,1696176
1698080,428,158,1698304
1700204,428,159,1700432
1702328,428,159,1702552
1704452,428,159,1704680
1706580,428,158,1706808
1708704,428,159,1708928
1710828,428,158,1711056
1712952,428,158,1713176
1715080,428,158,1715304
1717204,428,159,1717432
1719328,428,159,1719552
1721452,428,158,1721680
1723580,428,159,1723808
1725704,428,158,1725928
1727828,428,158,1728056
1729952,428,158,1730176
1732080,428,159,1732304
1734204,428,158,1734432
1736328,428,159,1736552
1738452,428,159,1738680
1740576,428,159,1740808
1742704,427,158,1742928
1744828,428,158,1745056
1746960,428,158,1747184
1749080,428,158,1749304
1751204,428,159,1751432
1753328,428,158,1753552
1755452,428,159,1755680
1757580,428,158,1757808
1759704,428,158,1759928
1761828,428,158,1762056
1763952,428,159,1764176
1766080,428,159,1766304
1768204,428,159,1768432
1770328,428,158,1770552
1772452,428,158,1772680
1774580,428,158,1774808
1776704,428,159,1776928
1778828,428,158,1779056
1780952,427,158,1781176
1783080,428,158,1783304
1785204,428,158,1785432
1787328,428,159,1787552
1789452,428,158,1789680
1791576,428,158,1791800
1793704,427,158,1793928
1795828,428,158,1796056
1797952,427,158,1798176
1800076,428,159,1800312
1802204,428,158,1802432
1804328,428,159,1804552
1806452,428,158,1806680
1808580,428,159,1808808
1810704,427,159,1810928
1812828,427,158,1813056
1814952,428,158,1815176
1817080,427,158,1817304
1819204,428,158,1819432
1821328,427,158,1821552
1823452,428,159,1823680
1825580,427,158,1825808
1827704,428,158,1827928
1829828,427,158,1830056
1831956,428,159,1832184
1834080,428,159,1834304
1836204,428,159,1836432
1838328,427,158,1838552
1840452,428,158,1840680
1842580,427,158,1842808
1844704,428,158,1844928
1846828,428,158,1847056
1848952,427,158,1849176
1851080,428,159,1851304
1853204,427,158,1853432
1855328,428,158,1855552
1857452,427,158,1857680
1859580,428,158,1859808
1861704,427,158,1861928
1863828,428,159,1864056
1865952,427,159,1866176
1868080,428,159,1868304
1870204,427,159,1870432
1872328,428,159,1872552
1874452,427,159,1874680
1876580,428,159,1876808
